u,Intercept,Stock_Index_Return,Three_Month_Rate_After_Demean,DTD_Level,DTD_Trend,Liquidity_Level_Nonfinancial,Liquidity_Trend_NonFinancial,NI_Over_TA_Level,NI_Over_TA_Trend,Size_Level,Size_Trend,M_Over_B,SIGMA,Liquidity_Level_Financial,Liquidity_Trend_Financial,DTD_Median_Fin,DTD_Median_Nfin,dummy_for_NM
12,-2.9094307047081274,0.15875172876391053,2.001634537680905,-0.0008827073683158881,-0.0002100929199835088,-0.16737449446301342,-0.2783988320115919,-1.494514368441803,-1.4951871179058032,-0.1285606133414938,-0.48624623776599946,-0.03550920180237932,1.9503540092362126,-0.0024167264806283905,0.2033676951238754,-0.011074195477909384,-0.017030973579720082,0.0
13,-2.9084372556809517,0.16141463770671916,2.0182687519170557,-0.0009360945615504834,-0.00021311521937969084,-0.16715562760065727,-0.27797095045471304,-1.494294453772263,-1.492248342124935,-0.12862178619566367,-0.4874155384934623,-0.035473011227706124,1.9469808042191203,-0.00240271073187865,0.20218704597838916,-0.011192953055338932,-0.017024455216571813,0.0
14,-2.9074456291994344,0.16406661020836977,2.034882978136719,-0.0009894467329917224,-0.00021612906484568366,-0.16693697086068532,-0.27754385427687095,-1.4940745594119091,-1.4893157545296176,-0.12868282252736032,-0.488576032050028,-0.03543683680490938,1.943615371753984,-0.002388709177283156,0.20101227335845415,-0.011311221977606072,-0.01701794016476359,0.0
15,-2.90645582214119,0.16670768310183268,2.051477236256227,-0.0010427639020026795,-0.00021913447588146746,-0.16671852405269214,-0.2771175422386369,-1.4938546853583998,-1.4863893500398182,-0.12874372252089686,-0.4897277619119359,-0.03540067852752316,1.9402576917588463,-0.0023747218044322723,0.1998433489548714,-0.011429003868556262,-0.01701142842241394,0.0
16,-2.9054678313890494,0.16933789310323025,2.0680515461735194,-0.0010960460879318372,-0.00022213147194466204,-0.1665002869864416,-0.2766920131007979,-1.4936348316103327,-1.4834691235003565,-0.12880448636037184,-0.4908707713617007,-0.035364536389090505,1.9369077442068343,-0.002360748600927884,0.19868024459314887,-0.011546300346971747,-0.017004919987642732,0.0
17,-2.9044816538310565,0.17195727681223485,2.084605927767596,-0.0011492933101199623,-0.00022512007245055105,-0.16628225947186692,-0.27626726562436416,-1.4934149981659477,-1.4805550696817318,-0.12886511422965946,-0.4920051034889512,-0.03532841038314586,1.9335655091260242,-0.0023467895543816237,0.19752293223286443,-0.01166311302658516,-0.016998414858570527,0.0
18,-2.9034972863604596,0.17456587071240992,2.1011404008986627,-0.0012025055878956434,-0.00022810029677217884,-0.16606444131906803,-0.2758432985705843,-1.4931951850234169,-1.477647183280953,-0.12892560631240937,-0.49313080119125413,-0.035292300503233065,1.9302309665992567,-0.0023328446524149633,0.19637138396703205,-0.011779443516096135,-0.016991913033319473,0.0
19,-2.9025147258756956,0.17716371117156163,2.1176549854082607,-0.0012556829405778517,-0.00023107216424043337,-0.1658468323383147,-0.2754201107009588,-1.4929753921812312,-1.4747454589223363,-0.12898596279205451,-0.4942479071749274,-0.0352562067428998,1.9269040967639919,-0.002318913882660427,0.19522557202146987,-0.011895293419186397,-0.01698541451001246,0.0
20,-2.9015339692803925,0.1797508344421198,2.1341497011197106,-0.001308825387475282,-0.00023403569414417997,-0.16562943234004768,-0.2749977007772489,-1.49275561963725,-1.4718498911583384,-0.1290461838518017,-0.49535646395586075,-0.035220129095689584,1.923584879812165,-0.0023049972327606628,0.19408546875417274,-0.012010664334534413,-0.016978919286773957,0.0
21,-2.900555013483353,0.1823272766614776,2.150624567836978,-0.0013619329478903762,-0.0002369909057302876,-0.16541224113487224,-0.2745760675614909,-1.4925358673900107,-1.4689604744703422,-0.12910626967464106,-0.49645651386033485,-0.035184067555156295,1.9202732959900144,-0.002291094690368407,0.19295104665468618,-0.01212555785583151,-0.016972427361729,0.0
22,-2.899577855398545,0.1848930738523442,2.1670796053460304,-0.0014150056411089858,-0.00023993781820376653,-0.16519525853356284,-0.2741552098160082,-1.4923161354377843,-1.4660772032694636,-0.12916622044334314,-0.49754809902582325,-0.03514802211485199,1.916969325597937,-0.0022772062431472635,0.1918222783434849,-0.012239975571795509,-0.016965938733004213,0.0
23,-2.898602491945103,0.18744826192311428,2.183514833413792,-0.0014680434864119758,-0.00024287645072783572,-0.16497848434706144,-0.2737351263034215,-1.4920964237787853,-1.4632000718973404,-0.12922603634045443,-0.4986312614018099,-0.035111992768328014,1.913672948990335,-0.0022633318787701764,0.1906991365713528,-0.012353919066187772,-0.016959453398727117,0.0
24,-2.897628920047309,0.18999287666821185,2.199930271788801,-0.001521046503065304,-0.0002458068224239971,-0.1647619183864799,-0.2733158157866626,-1.4918767324111826,-1.4603290746269155,-0.1292857175483042,-0.4997060427505838,-0.0350759795091468,1.9103841465754596,-0.0022494715849213738,0.1895815942187666,-0.012467389917826643,-0.016952971357026454,0.0
25,-2.8966571366345866,0.19252695376844275,2.2163259402010658,-0.001574014710332575,-0.0002487289523721687,-0.1645455604630949,-0.27289727702898486,-1.491657061333386,-1.4574642056632165,-0.12934526424900197,-0.5007724846480454,-0.03503998233086507,1.9071028988152554,-0.002235625349294534,0.18846962429528274,-0.012580389700603224,-0.016946492606032048,0.0
26,-2.895687138641496,0.19505052879134033,2.2327018583614846,-0.0016269481274593161,-0.0002516428596107281,-0.16432941038835197,-0.2724795087939757,-1.4914374105436028,-1.454605459144133,-0.12940467662443525,-0.5018306284844996,-0.03500400122704726,1.9038291862252112,-0.0022217931595942255,0.18736319993892633,-0.012692919983495936,-0.016940017143874945,0.0
