u,Intercept,Stock_Index_Return,Three_Month_Rate_After_Demean,DTD_Level,DTD_Trend,Liquidity_Level_Nonfinancial,Liquidity_Trend_NonFinancial,NI_Over_TA_Level,NI_Over_TA_Trend,Size_Level,Size_Trend,M_Over_B,SIGMA,Liquidity_Level_Financial,Liquidity_Trend_Financial,DTD_Median_Fin,DTD_Median_Nfin,dummy_for_NM
17,-3.38522664053828,0.31454104013039375,-16.927330336805703,-1.5422863203948305,-1.0754629132871365,-0.04074220764991214,-0.4797542777721185,-1.8319291658090795,-1.0725253875003806,0.13152825195153783,-1.5876666675845863,-0.06065550708003612,-0.2847203122288525,-0.0003127210356051813,-0.021949603424221434,-0.19602442491262007,0.05210183000466184,-1.066341058970046
18,-3.3780233317887007,0.31615397610474477,-16.79543667700519,-1.5401480730180992,-1.074299101524877,-0.040103380281805406,-0.4793043324217567,-1.8328847356708033,-1.072245400902765,0.13148617392229342,-1.585019653377727,-0.060410683493091075,-0.29022963939827057,-0.00031298661810322254,-0.022003743186128067,-0.19471157188360702,0.0531523498993257,-1.0659120573637044
19,-3.370894410671971,0.31776525389157145,-16.664102777176815,-1.5380137925996418,-1.0731369052852517,-0.03947616375399462,-0.47883734739395195,-1.8338397772176125,-1.0719655057594983,0.13144410647444224,-1.5823765911998082,-0.060166659916617994,-0.2957067948570166,-0.00031325214046312613,-0.02205786077217228,-0.19340431970050698,0.05419948062589017,-1.065483333005136
20,-3.3638393487826783,0.3193748748954229,-16.53332646851298,-1.535883470848468,-1.0719763222044996,-0.038860337934457916,-0.47835367748532703,-1.8347942906703987,-1.071685702038322,0.13140204960545046,-1.579737475293289,-0.059923433845521824,-0.3011519317876419,-0.0003135176026957886,-0.02211195618988139,-0.19210264620111156,0.05524323123940946,-1.0650548856989026
21,-3.3568576211308483,0.32098284051963205,-16.403105590349494,-1.5337570994920875,-1.0708173499221136,-0.038255686939238136,-0.4778536719780423,-1.835748276249897,-1.0714059897069486,0.13136000331277678,-1.5771022999089466,-0.05968100278242904,-0.3065652026866148,-0.00031378300481242714,-0.022166029446754817,-0.19080652930860867,0.05628361077209623,-1.064626715249692
22,-3.3499487061207005,0.32258915216647677,-16.273437990134873,-1.531634670276458,-1.0696599860808638,-0.0376619990497193,-0.4773376747179582,-1.8367017341768255,-1.0711263687331427,0.13131796759389044,-1.5744710593058462,-0.05943936423766375,-0.31194675936729976,-0.0003140483468241488,-0.022220080550304885,-0.1895159470312599,0.05732062823337858,-1.0641988214623515
23,-3.3431120855295524,0.3241938112371266,-16.144321523400745,-1.5295161749659463,-1.0685042283267654,-0.03707906663152252,-0.47680602419173135,-1.8376546646719878,-1.0708468390846677,0.1312759424462515,-1.5718437477513492,-0.0591985157292241,-0.3172967529629532,-0.0003143136287420829,-0.022274109508033164,-0.18823087746207595,0.05835429260996136,-1.0637712041418712
24,-3.336347244486832,0.32579681913152164,-16.015754053731847,-1.52740160534329,-1.0673500743090991,-0.03650668605498942,-0.4762590536028604,-1.838607067955877,-1.070567400729288,0.13123392786732954,-1.5692203595210799,-0.05895845478275891,-0.32261533392967917,-0.0003145788505772688,-0.022328116327451235,-0.18695129877849273,0.059384612865884284,-1.0633438630933723
25,-3.329653671453236,0.3273981772486316,-15.887733452736077,-1.5252909532095456,-1.0661975216803936,-0.03594465761722191,-0.4756970909467066,-1.8395589442488267,-1.0702880536347859,0.131191923854588,-1.5666008888989362,-0.058719178931544186,-0.3279026520493788,-0.0003148440123409937,-0.022382101016047602,-0.18567718924205182,0.060411597942564094,-1.0629167981221284
26,-3.3230308582000183,0.32899788698619525,-15.760257600015048,-1.523184210384056,-1.0650465680964298,-0.03539278546564782,-0.4751204590844813,-1.8405102937713473,-1.0700087977689612,0.13114993040549314,-1.563985330177054,-0.058480685716459875,-0.3331588564327083,-0.00031510911404433143,-0.022436063581326517,-0.1844085271980793,0.06143525675886745,-1.0624900090335587
27,-3.3164782997883555,0.330595949740911,-15.633324383134266,-1.5210813687043956,-1.0638972112162282,-0.0348508775230823,-0.47452947581623783,-1.8414611167436572,-1.069729633099628,0.13110794751751362,-1.5613736776558167,-0.05824297268596651,-0.33838409552198184,-0.00031537415569838067,-0.022490004030782246,-0.18314529107536728,0.06245559821115432,-1.062063495633218
28,-3.3099954945489265,0.33219236690831616,-15.506931697593771,-1.5189824200263395,-1.062749448702058,-0.034318745414255655,-0.4739244539528632,-1.8424114133860137,-1.0694505595945931,0.13106597518811663,-1.5587659256438298,-0.058006037396082094,-0.3435785170941169,-0.0003156391373141642,-0.02254392237191647,-0.1818874593858569,0.06347263117333517,-1.061637257726807
29,-3.303581944061554,0.3337871398828451,-15.381077446798766,-1.516887356223817,-1.0616032782194218,-0.03379620439377895,-0.47330570138709227,-1.8433611839185888,-1.0691715772216934,0.13102401341476808,-1.556162068457914,-0.05776987741035896,-0.34874226826350985,-0.000315904058903013,-0.02259781861220498,-0.1806350107243192,0.06448636449693457,-1.061211295120175
30,-3.297237153134951,0.3353802700578309,-15.255759542030402,-1.5147961691888703,-1.060458697437057,-0.03328307327551898,-0.47267352116355277,-1.8443104285612768,-1.068892685948778,0.13098206219494007,-1.553562100423096,-0.057534490299860644,-0.35387549548494146,-0.0003161689204757973,-0.022651692759147198,-0.17938792376804358,0.06549680701113238,-1.060785607619303
31,-3.290960629786667,0.3369717588254724,-15.130975902416488,-1.512708850831606,-1.0593157040269383,-0.03277917436335499,-0.4720282115478589,-1.8452591475341769,-1.0686138857436949,0.13094012152610138,-1.5509660158725858,-0.05729987364313905,-0.35897834455645045,-0.0003164337220437772,-0.02270554482022741,-0.17814617727652116,0.06650396752283022,-1.060360195030323
32,-3.2847518852230886,0.3385616075768719,-15.006724454902608,-1.510625393080164,-1.0581742956642626,-0.03228433338329012,-0.4713700660947595,-1.8462073410570143,-1.068335176574312,0.13089819140571995,-1.5483738091477794,-0.05706602502621138,-0.3640509606222025,-0.0003166984636180446,-0.02275937480293097,-0.1769097500911321,0.06750785481670175,-1.0599350571595088
33,-3.278610433819587,0.34014981770200103,-14.883003134223015,-1.508545787880669,-1.0570344700274525,-0.0317983794168908,-0.47069937371535975,-1.8471550093497797,-1.0680565584085095,0.1308562718312676,-1.545785474598241,-0.056832942042537554,-0.3690934881753385,-0.00031696314520970485,-0.022813182714734558,-0.17567862113483435,0.06850847765525028,-1.0595101938132712
