Date,CDS
2007-05-14,NaN
2007-05-15,NaN
2007-05-16,NaN
2007-05-17,NaN
2007-05-18,NaN
2007-05-21,NaN
2007-05-22,NaN
2007-05-23,NaN
2007-05-24,NaN
2007-05-25,NaN
2007-05-29,NaN
2007-05-30,NaN
2007-05-31,NaN
2007-06-01,NaN
2007-06-04,NaN
2007-06-05,NaN
2007-06-06,NaN
2007-06-07,NaN
2007-06-08,NaN
2007-06-11,NaN
2007-06-12,NaN
2007-06-13,NaN
2007-06-14,NaN
2007-06-15,NaN
2007-06-18,NaN
2007-06-19,NaN
2007-06-20,NaN
2007-06-21,NaN
2007-06-22,NaN
2007-06-25,NaN
2007-06-26,NaN
2007-06-27,NaN
2007-06-28,NaN
2007-06-29,NaN
2007-07-02,NaN
2007-07-03,NaN
2007-07-05,NaN
2007-07-06,NaN
2007-07-09,NaN
2007-07-10,NaN
2007-07-11,NaN
2007-07-12,NaN
2007-07-13,NaN
2007-07-16,NaN
2007-07-17,NaN
2007-07-18,NaN
2007-07-19,NaN
2007-07-20,NaN
2007-07-23,NaN
2007-07-24,NaN
2007-07-25,NaN
2007-07-26,NaN
2007-07-27,NaN
2007-07-30,NaN
2007-07-31,NaN
2007-08-01,NaN
2007-08-02,NaN
2007-08-03,NaN
2007-08-06,NaN
2007-08-07,NaN
2007-08-08,NaN
2007-08-09,NaN
2007-08-10,NaN
2007-08-13,NaN
2007-08-14,NaN
2007-08-15,NaN
2007-08-16,NaN
2007-08-17,NaN
2007-08-20,NaN
2007-08-21,NaN
2007-08-22,NaN
2007-08-23,NaN
2007-08-24,NaN
2007-08-27,NaN
2007-08-28,NaN
2007-08-29,NaN
2007-08-30,NaN
2007-08-31,61.19498719680988
2007-09-04,61.0571318999872
2007-09-05,60.05734665000549
2007-09-06,60.818993316622176
2007-09-07,59.299778751972525
2007-09-10,56.95516650643693
2007-09-11,58.45121709697704
2007-09-12,55.98608942903327
2007-09-13,56.56166159386553
2007-09-14,56.18028266990492
2007-09-17,53.11042448415049
2007-09-18,53.57566739528197
2007-09-19,52.537014875534396
2007-09-20,53.32343142657997
2007-09-21,54.04775686041354
2007-09-24,54.30788583358992
2007-09-25,54.963269633049414
2007-09-26,55.45408691971895
2007-09-27,51.90988656605043
2007-09-28,40.17690142425306
2007-10-01,40.59516074607564
2007-10-02,39.67511202793406
2007-10-03,38.74687584931894
2007-10-04,36.52897114187347
2007-10-05,36.50271210670625
2007-10-08,36.51383289005242
2007-10-09,36.4277979291149
2007-10-10,36.42964509713246
