Date,CDS
1999-01-21,33.56961464747248
1999-01-22,33.54464973333138
1999-01-25,33.89421117324982
1999-01-26,34.7223727972952
1999-01-27,33.03961132995843
1999-01-28,33.11905201323773
1999-01-29,31.12940280761447
1999-02-01,32.059345977289944
1999-02-02,31.079235790609975
1999-02-03,27.67714409287069
1999-02-04,26.148596554484445
1999-02-05,25.797945883311456
1999-02-08,25.126520766253247
1999-02-09,24.538917584429473
1999-02-10,24.358251599413624
1999-02-11,25.021287834255006
1999-02-12,24.96589209456687
1999-02-16,24.560021113774347
1999-02-17,23.809633299490795
1999-02-18,22.30692384943261
1999-02-19,22.145628307135077
1999-02-22,22.959383938614803
1999-02-23,23.673508376104063
1999-02-24,24.224145514681588
1999-02-25,23.958751189633045
1999-02-26,23.364430206129477
1999-03-01,23.635397761581036
1999-03-02,23.573080338640377
1999-03-03,23.207549818035
1999-03-04,24.050419765431776
1999-03-05,24.549385967214313
1999-03-08,24.087700671346855
1999-03-09,24.230677976942765
1999-03-10,23.804859534527747
1999-03-11,22.836471282036
1999-03-12,22.279779101837008
1999-03-15,22.791878074715687
1999-03-16,22.106354203810845
1999-03-17,21.74752378922708
1999-03-18,23.39001165824674
1999-03-19,22.354578560533827
1999-03-22,22.816076270907285
1999-03-23,23.30516309214114
1999-03-24,22.905624654333277
1999-03-25,27.126390911438467
1999-03-26,27.084483707539324
1999-03-29,28.2384308686092
1999-03-30,28.431100773151904
1999-03-31,27.407433628182428
1999-04-01,26.570289452678566
1999-04-05,26.96742435202769
1999-04-06,27.314415277008862
1999-04-07,27.323108154776364
1999-04-08,27.5176079759325
1999-04-09,26.558551803679435
1999-04-12,27.260288654059014
1999-04-13,27.752688060206317
1999-04-14,26.782230424193173
1999-04-15,24.360083539576213
1999-04-16,23.037465868755447
1999-04-19,20.73339151805336
1999-04-20,22.435258999392467
1999-04-21,23.863097568066742
1999-04-22,23.663527957735237
1999-04-23,22.91815534448888
1999-04-26,22.392481141816024
1999-04-27,22.433790944535797
1999-04-28,22.97708007229986
1999-04-29,22.656056554423536
1999-04-30,22.570482543300983
1999-05-03,21.608517384312496
1999-05-04,21.91055816375687
1999-05-05,22.48936076622455
1999-05-06,22.160450336328832
1999-05-07,23.130631967879918
1999-05-10,22.635526713396562
1999-05-11,23.38333469296509
1999-05-12,22.5937632444064
1999-05-13,22.722432436689818
1999-05-14,22.830512820749007
1999-05-17,23.036293251660336
1999-05-18,23.646551451789072
1999-05-19,23.27171623479976
1999-05-20,22.089067583550435
1999-05-21,23.37346895905546
1999-05-24,23.391030187616472
1999-05-25,23.79328701937359
1999-05-26,25.9953098472897
1999-05-27,24.846872660319743
1999-05-28,24.488357817401155
1999-06-01,25.549591192689153
1999-06-02,24.98126099076345
1999-06-03,25.587144956205044
1999-06-04,25.14496903812417
1999-06-07,25.20092655271015
1999-06-08,25.024488789428656
1999-06-09,25.299217514396883
1999-06-10,25.392464000973387
1999-06-11,24.61777536585884
1999-06-14,23.632225756611334
1999-06-15,24.55212075718818
1999-06-16,24.576431301426126
1999-06-17,24.60264543143311
1999-06-18,24.272896681933137
1999-06-21,26.40930906323408
1999-06-22,25.959163689876636
1999-06-23,25.42869284026353
1999-06-24,25.34765356246818
1999-06-25,26.075973577206536
1999-06-28,26.18447785930231
1999-06-29,26.04645744518048
1999-06-30,26.40058234242097
1999-07-01,26.98884137345618
1999-07-02,27.664312479118824
1999-07-06,26.536043079958088
1999-07-07,28.09124118308732
1999-07-08,29.033030151710097
1999-07-09,26.84619511124211
1999-07-12,26.933783178911607
1999-07-13,26.97794227166562
1999-07-14,26.597603289526877
1999-07-15,26.99951821152624
1999-07-16,26.452128203408893
1999-07-19,25.759821264840255
1999-07-20,24.999853863192467
1999-07-21,25.460863692946557
1999-07-22,25.18542464579906
1999-07-23,26.476468047059804
1999-07-26,25.403141825354524
1999-07-27,25.958143229427943
1999-07-28,26.865380933169604
1999-07-29,26.813634639304077
1999-07-30,27.620903593864863
1999-08-02,28.64922740158666
1999-08-03,28.178932231958665
1999-08-04,29.115346053421526
1999-08-05,28.751988800240657
1999-08-06,28.260796023090318
1999-08-09,27.727600545775903
1999-08-10,27.857108706752964
1999-08-11,29.495619767090872
1999-08-12,28.946041296464646
1999-08-13,29.420494041194228
1999-08-16,30.264798316508262
1999-08-17,29.853262420353758
1999-08-18,29.085994578056866
1999-08-19,28.31005016755091
1999-08-20,29.31249738853539
1999-08-23,29.15565955374802
1999-08-24,29.793272740129897
1999-08-25,29.913113618248097
1999-08-26,30.21676631660635
1999-08-27,32.60536602021847
1999-08-30,33.79890916324904
1999-08-31,35.40527463825553
1999-09-01,34.05130994969377
1999-09-02,33.99549419380368
1999-09-03,35.865263529652715
1999-09-07,35.75592150516704
1999-09-08,32.807166525410835
1999-09-09,34.46373781194529
1999-09-10,36.161218931309755
1999-09-13,34.39364673626586
1999-09-14,34.28231944061874
1999-09-15,33.3933001498713
1999-09-16,32.16740887363429
1999-09-17,33.84198900437248
1999-09-20,35.638311058608245
1999-09-21,34.881638193004264
1999-09-22,35.38606809244786
1999-09-23,32.392036167152796
1999-09-24,33.59149920863702
1999-09-27,32.69202607660317
1999-09-28,32.13700981288709
1999-09-29,30.914207581480987
1999-09-30,35.64481280807189
