Date,CDS
2000-01-03,118.98280290405569
2000-01-04,114.59756220607873
2000-01-05,107.25736340902439
2000-01-06,104.66603729829953
2000-01-07,102.97301544201855
2000-01-10,98.574176138907
2000-01-11,94.94205714458332
2000-01-12,102.29171532481405
2000-01-13,106.53479750562519
2000-01-14,110.21552281206417
2000-01-18,97.30209438808592
2000-01-19,96.40267286841679
2000-01-20,99.76949349533466
2000-01-21,104.43937243880501
2000-01-24,109.35685123197464
2000-01-25,108.46719836676053
2000-01-26,108.11408542200464
2000-01-27,99.71203946879471
2000-01-28,92.97616814195321
2000-01-31,104.42962386865281
2000-02-01,105.83586812151583
2000-02-02,103.99717918323006
2000-02-03,102.19977505107319
2000-02-04,109.19209107686805
2000-02-07,106.83190727733589
2000-02-08,107.99265840013346
2000-02-09,110.7148514616842
2000-02-10,118.90321890677485
2000-02-11,123.87067600548144
2000-02-14,126.41003570787318
2000-02-15,117.87752127929409
2000-02-16,110.31713269930935
2000-02-17,113.56505735260171
2000-02-18,105.65711047745947
2000-02-22,106.93701597390873
2000-02-23,112.54185905488946
2000-02-24,119.6850473281354
2000-02-25,116.02236567690039
2000-02-28,118.69965992020926
2000-02-29,124.677747723172
2000-03-01,134.65634942179219
2000-03-02,133.92014068699015
2000-03-03,144.114464995166
2000-03-06,135.7543231892731
2000-03-07,140.33435452719752
2000-03-08,135.89964600692656
2000-03-09,148.50200808438166
2000-03-10,135.29919254695128
2000-03-13,129.82937586151598
2000-03-14,100.62653516039535
2000-03-15,108.60170765234598
2000-03-16,109.57984622674664
2000-03-17,101.90865871397298
2000-03-20,98.54877938182214
2000-03-21,99.78816864509214
2000-03-22,108.5378168351414
2000-03-23,120.15217999508673
2000-03-24,119.28798797072795
2000-03-27,122.79251619024058
2000-03-28,117.65501089605809
2000-03-29,113.58567215335638
2000-03-30,117.03149859058946
2000-03-31,95.06257294872505
2000-04-03,97.61240342384473
2000-04-04,97.21456149863687
2000-04-05,85.21422968225563
2000-04-06,77.08582806417131
2000-04-07,81.2817533644852
2000-04-10,78.27537950951861
2000-04-11,73.22400973441066
2000-04-12,68.92797816596678
2000-04-13,69.54375105258907
2000-04-14,73.1855214491835
2000-04-17,76.01586698949487
2000-04-18,75.82648893754569
2000-04-19,76.91357139463291
2000-04-20,78.2513297763893
2000-04-24,71.39757422296942
2000-04-25,74.4785188095254
2000-04-26,73.80534295826037
2000-04-27,75.61389120860665
2000-04-28,70.13710897639187
2000-05-01,69.8065073643613
2000-05-02,66.13593012954647
2000-05-03,67.627061963101
2000-05-04,65.40435073094233
2000-05-05,66.7446966967944
2000-05-08,67.20726804610547
2000-05-09,69.8928405329988
2000-05-10,67.9665789628413
2000-05-11,68.85942864860266
2000-05-12,68.74671729368441
2000-05-15,68.20105423531254
2000-05-16,72.91422183992847
2000-05-17,70.02622788480274
2000-05-18,66.069497125217
2000-05-19,63.52083229022036
2000-05-22,64.20077928496958
2000-05-23,63.637528914321116
2000-05-24,69.44968250069209
2000-05-25,66.41070067413195
2000-05-26,61.2184949128154
2000-05-30,60.29585135230525
2000-05-31,59.21882558982505
2000-06-01,62.6050541893707
2000-06-02,64.34471707639052
2000-06-05,62.03490042483426
2000-06-06,61.239395797284864
2000-06-07,59.80037323773293
2000-06-08,60.497401013095015
2000-06-09,57.99801845889626
2000-06-12,58.83872341407453
2000-06-13,60.40017716198413
2000-06-14,54.584100158863095
2000-06-15,54.91022088596476
2000-06-16,54.86586380412237
2000-06-19,54.670397595324154
2000-06-20,55.880760233955705
2000-06-21,56.073286404762655
2000-06-22,55.217813642447474
2000-06-23,54.9541558983036
2000-06-26,55.80979877751403
2000-06-27,54.797410340154094
2000-06-28,53.675277346143986
2000-06-29,49.568750255897605
2000-06-30,51.559611322274776
2000-07-03,50.42699173263403
2000-07-05,48.82527634559757
2000-07-06,48.6372120112968
2000-07-07,48.85033114498403
2000-07-10,48.32980042908493
2000-07-11,50.15214997682554
2000-07-12,54.38184635549681
2000-07-13,54.27697506158133
2000-07-14,53.051735379957805
2000-07-17,53.69519726575809
2000-07-18,52.10450087908841
2000-07-19,50.49748340459521
2000-07-20,50.28639816371883
2000-07-21,49.23883174287256
2000-07-24,48.655097982070444
2000-07-25,49.01356850399435
2000-07-26,46.90389416712458
2000-07-27,44.76013185428106
2000-07-28,42.92755230365811
2000-07-31,46.83981318152794
2000-08-01,47.16219838609549
2000-08-02,47.02785188437951
2000-08-03,50.00701351823332
2000-08-04,50.846004827796975
2000-08-07,52.49271772823291
2000-08-08,53.02813182055138
2000-08-09,50.813463290026874
2000-08-10,51.19693726925519
2000-08-11,50.18349197292345
2000-08-14,51.17220027808173
2000-08-15,48.083183786856445
2000-08-16,48.01201513135682
2000-08-17,47.917209323275735
2000-08-18,48.44161542217336
2000-08-21,48.86596105924844
2000-08-22,48.06471341676329
2000-08-23,48.11457341310434
2000-08-24,49.9405879560684
2000-08-25,48.880559666152195
2000-08-28,53.19088404164162
2000-08-29,52.12834470976968
2000-08-30,52.59486176637415
2000-08-31,54.2877714204959
2000-09-01,53.17854368835947
2000-09-05,49.104674275623076
2000-09-06,48.394922431969896
2000-09-07,49.517692883451765
2000-09-08,50.03516784609743
2000-09-11,48.560683044730744
2000-09-12,47.879709185302204
2000-09-13,49.99721739779475
2000-09-14,52.71341151942238
2000-09-15,53.47237857173215
2000-09-18,54.22872371427701
2000-09-19,54.14480444408111
2000-09-20,54.601334484414906
2000-09-21,56.609564821425316
2000-09-22,57.39176495927945
2000-09-25,57.85961485977057
2000-09-26,56.16235304314295
